year,crops,irr,nat_yield,scenario,region_code,irr_label
58,potatoes_fall,1,49.96767137977852,control,Control,Irrigated
58,potatoes_summer,2,25.67469047410512,control,Control,Dry
58,rice,1,6.5195257847498915,control,Control,Irrigated
58,soybeans,1,2.659923549335063,control,Control,Irrigated
58,soybeans,2,2.093575563247022,control,Control,Dry
58,sugarbeets,1,61.990395654380784,control,Control,Irrigated
58,wheat_durum,2,2.4529634902167157,control,Control,Dry
58,wheat_spring,1,4.453604833997706,control,Control,Irrigated
58,wheat_spring,2,3.5797177217144895,control,Control,Dry
58,wheat_winter,1,3.3817254695067596,control,Control,Irrigated
58,wheat_winter,2,2.888560982255094,control,Control,Dry
59,barley_spring,1,6.607601302914166,control,Control,Irrigated
59,barley_spring,2,3.1826045439648962,control,Control,Dry
59,corn_grain,1,7.68050577805492,control,Control,Irrigated
59,corn_grain,2,7.460656704836044,control,Control,Dry
59,corn_silage,1,29.881963623185047,control,Control,Irrigated
59,corn_silage,2,22.38636315426262,control,Control,Dry
59,cotton_upland,1,0.8692158330487295,control,Control,Irrigated
59,cotton_upland,2,0.9882770252877754,control,Control,Dry
59,hay_alfalfa,1,10.363543633392666,control,Control,Irrigated
59,hay_alfalfa,2,4.353446844592901,control,Control,Dry
59,hay_non_alfalfa,1,5.254600135388722,control,Control,Irrigated
59,hay_non_alfalfa,2,4.44740913515379,control,Control,Dry
59,oats_fall,2,1.2853571463236038,control,Control,Dry
59,oats_spring,1,3.4383571145459166,control,Control,Irrigated
59,oats_spring,2,2.1799347854578213,control,Control,Dry
59,potatoes_fall,1,50.13286935308981,control,Control,Irrigated
59,potatoes_summer,2,25.095401081342327,control,Control,Dry
59,rice,1,6.446571706831859,control,Control,Irrigated
59,soybeans,1,2.658797807526345,control,Control,Irrigated
59,soybeans,2,2.1287219668858732,control,Control,Dry
59,sugarbeets,1,61.53755480975469,control,Control,Irrigated
59,wheat_durum,2,2.4869600789572632,control,Control,Dry
59,wheat_spring,1,4.437774658235096,control,Control,Irrigated
59,wheat_spring,2,3.5919067585526196,control,Control,Dry
59,wheat_winter,1,3.3207079745124193,control,Control,Irrigated
59,wheat_winter,2,2.9143041542677,control,Control,Dry
60,barley_spring,1,6.557693691437626,control,Control,Irrigated
60,barley_spring,2,3.1696905592964124,control,Control,Dry
60,corn_grain,1,7.705842527311848,control,Control,Irrigated
60,corn_grain,2,7.514537625306511,control,Control,Dry
